                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3193,                 2.0722,                 1.7606,                 0.8128,                0.56634,                0.71099,                0.24893,                 1.7689,                   2.75,                 2.2208,             0.00065741,             0.00065741,             0.00065741
                      2,                 1.3195,                 1.7383,                 1.7369,                0.37348,                0.33333,                0.27292,                0.07609,                  2.274,                 3.3005,                 3.0099,              0.0012979,              0.0012979,              0.0012979
                      3,                 1.3025,                  1.621,                 1.7291,                0.37438,                0.31884,                0.26942,                0.08277,                 2.6394,                 3.6168,                 3.5699,              0.0019119,              0.0019119,              0.0019119
                      4,                 1.3028,                  1.572,                 1.7166,                0.71834,                 0.6087,                0.63102,                0.22502,                   2.15,                  2.192,                 3.2165,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3081,                 1.4578,                 1.7436,                0.48074,                0.52329,                0.42973,                0.12793,                 2.4052,                 2.2927,                  3.741,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2731,                 1.4185,                 1.7006,                0.63905,                0.51319,                0.57321,                0.24202,                 1.7541,                 1.9773,                 2.2896,               0.001802,               0.001802,               0.001802
                      7,                 1.2603,                  1.282,                 1.6692,                 0.6235,                0.72464,                0.68297,                0.21075,                  2.243,                 1.5573,                 2.8415,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2407,                 1.2866,                 1.6631,                0.76482,                0.78986,                 0.8038,                0.33008,                 1.9002,                 1.4817,                 2.4431,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2208,                 1.2401,                 1.6367,                0.71713,                0.69565,                0.75838,                0.26686,                 2.0044,                 1.5252,                  2.841,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1692,                 1.1824,                 1.6344,                0.66521,                0.66234,                0.62117,                 0.1947,                 2.2438,                 1.7021,                 3.0413,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1662,                 1.1343,                 1.6166,                0.83563,                0.81049,                0.86881,                0.40367,                 1.7038,                 1.2114,                  2.364,               0.001604,               0.001604,               0.001604
                     12,                 1.1445,                  1.144,                 1.5697,                0.77906,                0.78261,                0.81722,                0.35492,                 1.7393,                 1.3585,                 2.2309,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1405,                 1.1101,                 1.5734,                0.88587,                0.80435,                0.86611,                0.34043,                 1.9339,                 1.1811,                 2.6495,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0878,                 1.0671,                 1.5489,                 0.8919,                0.83707,                0.91673,                0.35391,                 2.0531,                 1.1277,                 2.7583,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0934,                 1.0236,                 1.5382,                0.76366,                0.83333,                0.85993,                0.48143,                 1.4182,                 1.1317,                 1.9551,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0877,                0.99541,                 1.5383,                0.76231,                0.79017,                0.82195,                0.41353,                  1.587,                  1.258,                 2.1531,               0.001406,               0.001406,               0.001406
                     17,                 1.0484,                0.94972,                 1.5101,                0.91136,                0.89401,                0.92636,                0.45706,                 1.6898,                0.99841,                  2.258,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0548,                0.93844,                 1.5013,                0.89253,                0.84783,                0.88705,                0.34415,                 2.0113,                  1.069,                 2.7064,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0582,                0.96425,                 1.4955,                0.89333,                0.86232,                0.91186,                0.42705,                 1.7936,                 0.9685,                 2.3378,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0074,                0.90469,                 1.4769,                0.92167,                 0.8913,                0.92647,                0.44692,                 1.6859,                0.94034,                 2.2833,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0231,                0.90205,                  1.475,                0.86601,                0.86232,                0.92023,                0.51485,                 1.4699,                0.90407,                 1.9752,               0.001208,               0.001208,               0.001208
                     22,                0.98103,                 0.8723,                 1.4508,                0.85244,                0.79537,                0.87727,                0.51712,                 1.4205,                0.95029,                 1.9677,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0038,                0.85362,                 1.4535,                0.90453,                0.83333,                0.88746,                0.55742,                 1.3542,                0.97174,                 1.9368,              0.0011288,              0.0011288,              0.0011288
